Crop_Type,Temperature_C,Rainfall_mm,Irrigation_mm,N_Fertilizer,P_Fertilizer,K_Fertilizer,Yield_kg_per_ha
Rice,27.2,236.0,235.7,131.92,9.41,56.99,1590.88
Rice,24.9,1013.81,454.42,138.01,70.75,1.74,3213.3
Wheat,27.76,235.05,249.47,115.83,68.28,75.55,2553.24
Soybean,26.12,688.3,173.03,191.02,0.0,49.68,309.17
Wheat,31.82,931.19,438.85,60.83,30.84,39.15,402.85
Wheat,25.63,855.55,250.38,125.59,73.28,58.14,732.92
Wheat,22.85,927.63,223.48,122.6,30.48,10.96,572.77
Wheat,25.61,866.69,322.42,152.53,30.19,26.71,435.53
Maize,27.72,1183.66,415.61,86.25,34.34,37.58,591.6
Soybean,25.24,514.31,657.26,50.25,17.58,67.31,302.25
Rice,25.2,596.9,424.09,126.27,5.9,39.07,2482.84
Rice,21.49,568.2,473.98,131.25,61.05,49.0,3801.48
Soybean,21.69,1049.06,224.11,179.58,3.14,28.21,120.34
Rice,17.99,1070.12,146.12,69.19,44.95,49.74,2170.7
Soybean,33.75,935.37,309.35,166.19,57.73,73.54,135.08
Rice,18.78,1155.05,316.08,214.7,10.98,59.91,2536.91
Wheat,21.54,446.59,138.22,104.89,21.51,38.37,2468.8
Rice,21.41,1300.17,273.71,68.36,64.26,53.51,1941.96
Soybean,29.47,1256.97,359.9,103.72,50.66,51.55,101.95
Soybean,23.53,1020.69,354.06,120.56,27.65,50.13,113.32
Soybean,31.24,1334.54,375.64,142.55,64.04,62.24,126.21
Soybean,21.63,303.01,343.64,96.34,64.13,62.09,572.72
Soybean,26.39,642.67,223.95,182.21,45.38,37.46,311.3
Maize,20.82,579.41,222.91,75.42,22.0,52.84,2632.47
Maize,35.73,1016.44,120.16,50.43,31.73,32.34,1382.34
Rice,19.06,484.96,567.72,164.27,45.73,21.54,3237.85
Soybean,26.55,1027.25,302.02,29.02,36.23,34.61,318.46
Rice,28.17,1211.16,266.27,111.83,58.78,38.47,2897.02
Soybean,27.07,1008.56,160.68,244.71,9.4,6.77,118.04
Soybean,24.07,885.13,740.35,119.52,10.11,57.21,132.53
Maize,24.35,503.64,139.0,75.17,43.62,0.0,3431.59
Maize,25.22,545.94,235.67,117.7,30.17,94.3,3564.89
Wheat,24.26,1174.89,362.38,117.97,27.46,70.04,434.29
Maize,29.82,1033.8,390.03,126.43,4.64,34.78,1346.47
Wheat,36.05,788.29,443.69,146.49,40.39,40.19,505.81
Wheat,22.21,674.63,571.14,78.44,38.94,46.06,370.23
Wheat,18.15,192.26,375.92,187.5,53.07,28.22,1746.21
Wheat,24.56,478.74,141.6,129.8,41.38,43.85,2575.08
Wheat,37.9,1373.43,261.46,149.07,37.35,37.12,543.46
Rice,20.98,415.86,346.17,94.87,63.54,38.11,2549.11
Maize,33.2,856.84,610.23,171.46,13.75,43.63,1321.22
Wheat,33.39,1102.23,90.33,109.72,50.73,13.73,389.04
Soybean,22.23,423.52,480.39,131.1,6.58,40.79,227.66
Maize,27.84,855.41,326.99,82.68,23.23,43.27,2348.58
Maize,33.14,1081.37,425.67,80.12,15.75,42.58,624.51
Wheat,23.1,803.75,284.7,147.53,55.64,35.68,661.19
Rice,23.98,1660.52,173.64,102.26,38.69,62.76,1794.86
Wheat,22.09,299.42,412.63,85.85,39.73,32.93,1961.48
Rice,19.93,1117.62,398.16,94.27,17.87,44.55,1925.93
Soybean,21.75,748.16,445.81,147.96,34.01,65.95,119.97
Maize,18.88,1031.58,298.0,94.84,24.73,38.41,1610.1
Soybean,25.17,932.39,210.03,115.29,47.67,44.29,151.5
Rice,21.15,580.05,66.18,120.6,20.18,38.07,2233.29
Rice,26.17,868.7,422.91,43.31,66.6,64.75,1686.69
Soybean,17.22,242.63,363.58,61.15,6.49,34.85,886.08
Rice,26.65,980.97,155.13,133.45,23.87,65.67,2798.89
Soybean,29.17,889.45,219.21,90.52,73.54,37.93,121.16
Maize,15.03,991.6,229.99,162.27,31.3,22.81,2601.58
Soybean,26.87,1117.44,77.55,158.67,13.7,53.59,114.93
Maize,31.14,910.29,177.35,148.77,44.38,33.91,3305.56
Soybean,18.95,844.43,129.93,192.79,30.49,52.41,117.19
Rice,33.36,535.68,238.13,116.68,23.28,0.0,2956.56
Soybean,27.1,586.33,189.2,145.96,18.08,40.1,433.6
Rice,21.47,1156.02,55.95,96.62,95.37,30.81,2750.75
Soybean,24.72,1230.9,603.39,218.09,34.97,18.73,126.48
Soybean,27.79,728.57,487.88,199.35,1.49,28.94,127.35
Wheat,25.38,813.8,183.15,120.48,69.87,28.53,1394.11
Rice,27.69,528.62,340.86,135.46,52.22,39.04,2658.61
Wheat,20.4,1151.83,362.62,174.37,24.67,12.65,405.7
Rice,25.85,999.63,478.66,114.11,21.34,46.33,2988.16
Wheat,17.93,1382.37,177.21,93.74,53.47,67.32,530.1
Maize,24.44,536.5,463.82,154.96,35.06,45.62,3589.04
Soybean,20.48,686.6,217.81,123.14,1.48,56.18,223.41
Rice,21.32,869.43,99.62,127.32,75.74,61.89,2768.77
Rice,31.18,993.95,408.62,86.63,31.32,64.73,2409.32
Soybean,30.46,735.3,493.61,51.29,69.91,77.4,264.11
Rice,28.05,538.11,688.19,129.45,65.57,30.02,2889.54
Rice,19.54,1064.42,120.04,156.2,19.98,25.63,3396.1
Wheat,23.42,1016.34,404.84,110.97,60.66,55.67,501.81
Rice,31.07,525.12,238.53,177.46,26.97,54.17,2551.3
Maize,25.71,1206.63,417.5,91.84,2.67,55.51,521.91
Maize,36.6,1151.06,79.43,77.81,31.51,77.79,1876.09
Soybean,26.97,840.29,110.58,117.31,47.95,40.23,117.1
Rice,25.96,823.88,183.62,116.7,30.75,48.52,2550.07
Soybean,23.45,966.22,311.84,150.8,33.86,20.39,120.26
Maize,25.67,541.49,203.84,89.0,62.87,82.71,2847.31
Rice,24.24,809.01,398.86,174.72,42.13,33.27,2942.8
Rice,28.54,154.28,454.03,198.68,23.13,33.84,2059.42
Soybean,29.78,1062.94,389.94,118.43,54.04,33.07,108.53
Maize,21.07,331.55,542.82,169.99,43.95,27.1,3795.68
Rice,18.34,1251.03,362.37,77.74,0.0,25.41,2054.26
Soybean,15.82,700.96,117.47,163.01,48.57,29.53,398.88
Maize,27.54,736.5,504.51,161.89,47.84,12.68,2827.35
Soybean,19.48,611.68,209.23,154.54,40.4,24.29,329.49
Wheat,14.24,713.59,436.56,119.38,57.83,78.98,519.94
Rice,26.94,1225.56,536.06,1.83,26.55,54.71,1097.18
Wheat,37.46,53.66,368.5,94.33,46.73,58.52,2377.38
Maize,24.97,1183.09,75.58,94.96,8.66,63.54,2207.04
Wheat,29.19,901.41,162.27,80.87,48.14,76.68,967.09
Wheat,25.41,437.89,498.41,124.89,79.06,4.57,1958.26
Maize,24.51,477.41,274.63,103.24,20.1,15.4,3620.44
Soybean,29.6,1302.92,311.94,87.02,24.8,23.93,126.8
Wheat,23.55,516.35,413.82,77.65,25.8,30.61,1692.87
Soybean,26.34,453.99,404.45,91.38,42.6,33.99,260.1
Wheat,26.61,1141.19,341.82,164.86,18.74,31.06,366.49
Soybean,21.66,901.57,268.7,93.56,48.42,44.39,121.89
Maize,29.96,518.62,253.1,99.4,56.94,40.71,3224.86
Wheat,24.13,864.99,428.68,101.73,50.69,25.54,462.03
Maize,21.22,492.27,383.04,133.56,4.63,0.0,4009.42
Wheat,27.68,1130.25,261.4,138.25,59.9,20.14,397.6
Maize,20.51,1118.41,462.32,0.0,58.75,29.02,302.89
Maize,25.14,959.6,280.64,160.87,56.6,35.06,2623.75
Wheat,24.95,908.5,172.25,177.45,47.46,17.41,579.78
Wheat,30.43,1328.36,186.15,77.99,44.4,30.18,505.47
Wheat,27.37,799.91,153.19,81.11,60.65,17.38,1266.19
Rice,24.87,445.44,259.14,101.99,78.47,37.48,2105.46
Soybean,29.09,934.84,485.06,89.76,20.94,18.54,130.9
Rice,31.95,1425.81,179.24,128.96,61.56,23.02,2774.97
Rice,27.79,495.57,328.27,42.14,38.28,13.83,1178.08
Maize,25.05,691.56,201.5,75.28,37.41,36.93,2804.29
Wheat,18.44,924.93,260.95,181.57,9.27,22.67,381.29
Soybean,19.67,783.83,73.49,82.87,34.3,58.14,362.06
Maize,23.47,505.31,266.92,169.74,20.05,48.12,4143.2
Rice,21.95,1136.56,270.94,134.21,30.72,38.6,2837.83
Wheat,24.07,1496.01,381.04,47.63,18.04,24.05,293.63
Maize,25.28,858.84,333.49,145.41,31.02,47.61,2709.2
Wheat,27.65,528.78,120.24,115.29,31.88,53.81,2274.8
Maize,24.65,335.31,462.63,101.78,41.94,42.85,3698.99
Wheat,27.43,877.39,331.55,129.8,7.71,72.07,497.61
Rice,25.32,1131.16,329.76,138.99,11.09,49.19,3003.66
Soybean,15.12,942.55,298.62,148.3,47.24,58.27,138.17
Rice,20.3,799.28,222.34,167.13,24.05,42.67,2212.95
Soybean,24.28,623.22,332.67,136.33,61.49,53.51,135.35
Wheat,18.95,472.35,371.34,64.97,44.51,24.06,1665.06
Maize,28.0,1050.43,37.97,101.05,52.14,30.83,2940.72
Rice,32.65,1074.13,219.19,237.72,68.21,46.99,1811.86
Soybean,31.09,336.28,261.76,148.98,33.81,46.84,533.37
Rice,23.93,1276.95,338.43,214.77,28.51,50.15,2260.02
Soybean,32.45,972.22,479.0,175.82,57.43,62.01,148.62
Rice,25.74,1219.88,184.24,129.67,50.19,11.5,3147.39
Soybean,23.31,397.36,225.31,132.06,36.25,20.51,635.25
Soybean,21.93,390.25,223.12,118.54,67.83,44.59,558.22
Wheat,23.49,755.31,179.77,50.49,35.76,25.51,1083.37
Soybean,23.06,950.84,247.92,120.72,40.66,107.56,110.63
Wheat,25.85,1338.91,415.62,168.43,40.42,50.31,399.41
Soybean,25.8,1011.82,141.92,96.01,21.31,38.43,95.37
Maize,25.02,727.2,364.17,136.48,41.55,29.69,3031.85
Maize,27.18,492.09,44.71,154.06,67.94,30.4,3298.03
Maize,30.95,1169.0,215.8,83.61,48.9,40.6,1310.97
Soybean,29.75,510.59,250.58,101.95,40.62,42.24,442.05
Wheat,17.58,1288.54,551.23,79.28,36.76,30.87,459.45
Wheat,12.23,714.68,258.78,87.11,46.62,34.54,1416.18
Soybean,29.67,1277.17,0.0,68.5,55.0,66.89,146.07
Maize,18.17,1003.68,0.17,83.98,52.18,67.69,2160.02
Maize,23.88,758.9,305.1,176.78,33.36,45.04,3358.25
Wheat,19.15,644.18,392.07,83.38,46.5,13.17,966.37
Maize,15.99,697.73,356.32,125.06,49.6,50.77,3417.42
Rice,27.71,928.5,325.14,99.89,19.86,71.09,2906.48
Wheat,28.8,823.15,474.34,167.15,43.36,67.4,463.87
Maize,22.12,621.86,219.06,172.45,0.0,54.69,4284.05
Wheat,12.04,750.31,434.24,154.56,49.65,68.45,453.07
Rice,22.27,823.57,55.2,132.25,53.21,41.07,2603.17
Wheat,26.96,161.38,164.26,110.76,54.95,52.56,1818.86
Wheat,17.61,937.45,28.94,72.33,32.1,26.38,1124.72
Wheat,25.92,506.08,258.77,197.74,46.18,45.85,1491.81
Wheat,24.92,454.0,293.06,89.61,68.48,66.59,2163.15
Rice,27.9,293.8,317.12,146.55,68.28,28.21,1992.19
Soybean,25.6,261.83,309.28,162.38,39.42,22.77,539.28
Wheat,20.13,393.37,160.87,97.79,42.79,41.95,2193.48
Wheat,30.98,587.29,271.46,161.52,62.22,35.47,1803.13
Maize,24.21,1385.98,75.38,150.57,9.98,52.98,1364.38
Wheat,24.86,642.24,504.48,189.12,33.54,30.93,325.13
Maize,20.33,853.33,254.46,101.23,66.71,74.37,2140.19
Soybean,22.78,920.14,226.67,68.57,59.5,14.21,151.45
Rice,20.58,839.32,538.34,99.78,47.39,65.07,2568.93
Rice,24.14,776.77,113.66,128.35,9.88,24.7,2681.11
Soybean,33.56,441.41,131.16,122.33,39.0,4.08,550.5
Rice,18.14,1235.28,135.57,104.26,28.2,44.76,2727.58
Soybean,16.93,1342.16,289.82,43.63,46.62,34.91,299.61
Soybean,32.36,295.2,364.74,138.82,23.81,17.81,537.26
Soybean,23.95,492.79,410.95,198.89,19.49,6.37,217.4
Rice,21.65,716.06,685.8,138.57,0.0,39.83,2773.83
Maize,30.2,510.64,0.0,144.37,64.44,59.52,3179.32
Soybean,21.97,951.79,391.31,142.9,32.0,51.7,136.56
Wheat,34.13,581.52,216.43,135.88,43.14,41.13,2311.98
Rice,28.39,1449.52,212.04,157.27,39.96,49.58,2761.16
Soybean,22.56,1157.16,207.03,135.81,18.65,39.46,134.71
Soybean,35.79,863.77,163.68,107.49,14.82,11.41,126.31
Wheat,21.97,1108.1,552.68,88.16,19.89,11.58,508.58
Maize,28.71,1131.77,426.34,110.04,25.54,35.94,573.01
Maize,26.5,630.82,303.48,132.57,47.33,36.79,3694.21
Maize,31.51,555.13,502.65,107.36,24.09,57.02,2952.31
Soybean,32.81,823.44,73.12,132.57,74.93,55.15,259.91
Soybean,25.16,1058.49,100.39,137.57,60.54,52.1,131.13
Soybean,21.23,841.72,0.0,153.33,56.17,34.39,299.59
Rice,27.3,326.9,195.09,171.31,37.61,12.39,2076.23
Wheat,21.61,559.15,324.25,123.12,70.29,48.24,1973.48
Soybean,35.07,777.81,315.43,67.69,35.64,50.5,170.59
Wheat,25.68,777.3,322.4,106.2,39.37,0.0,678.97
Wheat,23.17,1391.76,88.34,121.76,43.4,23.31,517.89
Maize,25.92,384.2,420.47,46.57,54.04,26.18,1784.5
Rice,18.26,951.68,335.94,175.55,52.74,42.37,2980.47
Soybean,20.14,1246.73,409.96,125.7,30.5,23.93,111.31
Maize,31.0,1481.43,16.09,135.25,29.34,39.24,847.85
Maize,21.72,678.68,346.72,174.62,52.8,35.79,4111.08
Soybean,19.77,947.43,121.84,94.79,54.3,36.82,107.38
Wheat,27.68,970.93,240.4,142.96,32.13,25.67,434.87
Maize,30.93,858.64,380.15,115.61,8.26,27.22,2430.02
Wheat,28.59,770.35,313.66,112.64,35.85,18.39,802.77
Rice,29.98,930.79,172.27,89.11,52.47,47.6,2274.94
Wheat,21.22,40.33,300.94,186.62,76.11,51.42,1433.03
Rice,17.89,1004.62,70.27,104.98,16.04,24.59,2296.7
Wheat,32.51,837.85,472.54,147.98,31.47,70.41,425.56
Maize,23.39,733.26,269.21,45.0,32.21,33.71,2002.32
Maize,23.75,1414.06,467.78,167.2,67.12,70.6,832.57
Rice,31.64,597.52,221.02,162.09,39.3,27.16,2479.52
Soybean,27.78,679.08,221.46,123.9,21.85,0.0,223.95
Rice,27.28,1397.47,185.37,110.92,51.17,48.04,2656.82
Rice,35.83,550.38,431.43,136.0,31.91,44.97,3161.86
Wheat,21.78,634.97,193.59,211.55,15.51,40.69,902.1
Wheat,29.64,755.89,396.69,49.47,22.14,27.16,362.36
Rice,25.29,1052.22,242.63,151.28,74.68,39.31,2373.37
Maize,26.34,862.34,3.61,83.54,47.68,29.77,2543.93
Wheat,32.64,412.21,214.45,119.2,42.16,33.95,2535.84
Soybean,27.54,640.35,123.13,110.08,35.0,56.83,447.67
Wheat,27.69,617.79,305.09,102.87,45.84,43.68,1581.74
Wheat,30.36,776.83,121.44,119.58,45.6,52.2,1930.98
Soybean,23.18,927.75,438.9,74.63,45.84,35.36,112.51
Rice,20.8,925.46,286.34,161.17,42.3,33.16,2900.68
Soybean,19.78,267.2,273.36,48.23,57.38,16.93,1576.57
Rice,15.17,1119.18,398.38,141.59,40.46,32.6,3034.04
Rice,35.28,875.77,444.59,106.94,20.44,0.0,2456.27
Rice,19.48,1215.36,296.99,73.16,27.75,28.2,1853.46
Soybean,23.89,933.26,184.32,128.1,0.42,38.36,115.07
Rice,23.62,1130.4,33.9,57.72,80.54,51.27,1872.94
Maize,26.54,939.96,197.09,121.59,57.26,34.63,2753.42
Soybean,29.08,1203.87,207.42,63.08,23.4,46.95,226.22
Maize,29.3,956.68,316.06,138.45,34.36,0.0,2551.76
Rice,22.08,770.63,248.23,83.03,27.26,38.86,2450.54
Wheat,24.16,1481.73,403.19,101.96,70.85,6.41,426.97
Rice,26.41,1066.71,208.05,131.76,11.6,15.83,3288.48
Maize,23.76,972.12,291.44,89.1,42.29,36.26,1426.47
Maize,33.04,417.11,477.6,117.68,37.83,65.53,3766.36
Soybean,27.45,413.51,351.27,59.45,56.54,47.42,914.68
Wheat,28.67,887.81,290.99,145.24,37.92,40.36,457.57
Soybean,28.31,843.66,209.71,190.6,4.84,39.61,135.27
Maize,30.87,615.76,205.02,231.69,34.98,25.73,3648.15
Rice,25.91,842.29,172.41,123.65,20.56,29.12,2857.0
Wheat,18.52,1276.59,218.85,151.53,41.59,48.55,481.88
Rice,27.0,1008.62,413.35,48.77,68.68,12.29,2103.67
Rice,21.74,457.7,266.72,180.11,5.21,51.86,2754.7
Wheat,22.36,766.55,97.53,151.05,24.0,32.23,2015.0
Soybean,27.93,558.51,565.23,100.64,28.95,56.51,109.05
Rice,31.19,683.69,347.99,169.49,32.37,59.22,2933.52
Maize,25.11,675.92,88.96,109.82,54.8,6.54,3116.29
Rice,26.54,656.71,233.72,101.68,36.53,28.37,2720.22
Wheat,33.51,423.46,316.63,139.01,48.32,22.89,2337.73
Wheat,26.2,761.7,555.69,77.47,27.48,3.75,388.94
Wheat,38.01,631.82,133.78,160.86,44.6,19.35,2062.73
Soybean,27.83,0.0,446.41,77.76,55.56,88.83,542.73
Rice,16.2,1415.89,509.92,78.0,25.35,52.19,1492.14
Soybean,28.77,1126.63,205.7,83.61,55.63,78.35,109.69
Soybean,26.91,687.11,258.37,150.38,41.05,56.58,124.05
Wheat,31.45,805.65,144.55,95.33,60.91,25.16,1698.37
Wheat,28.37,448.5,269.48,66.08,35.97,32.36,1915.87
Soybean,24.31,1308.72,294.51,95.77,47.62,51.77,115.31
Rice,18.88,1369.19,398.95,118.72,39.19,48.75,2272.94
Maize,23.95,847.01,463.53,72.76,38.08,28.45,1645.95
Soybean,20.75,1107.06,187.79,73.93,45.18,9.8,106.71
Rice,22.1,852.59,4.9,204.45,50.74,105.76,2459.75
Wheat,27.94,398.98,296.81,85.58,15.01,37.18,2534.11
Wheat,33.35,676.45,344.03,107.08,68.67,33.49,1329.82
Rice,26.97,839.58,337.41,105.31,2.81,42.27,2752.03
Maize,19.02,663.64,251.0,103.15,26.3,35.15,3416.96
Wheat,27.22,734.4,318.71,144.85,38.11,42.45,1075.44
Wheat,30.98,772.58,527.32,157.93,48.25,65.74,484.86
Wheat,21.95,775.74,357.26,107.76,71.52,37.51,416.18
Rice,24.33,815.68,243.99,70.54,2.83,16.75,1807.23
Soybean,25.07,481.82,224.97,170.98,29.85,36.77,547.35
Wheat,21.08,584.9,274.52,116.19,0.0,30.71,1724.97
Soybean,28.24,414.62,545.51,189.21,40.63,68.48,124.82
Maize,24.4,1093.34,272.5,30.18,45.43,63.42,771.39
Wheat,27.1,168.31,297.03,127.82,71.82,42.15,2128.65
Wheat,20.56,1146.08,227.65,196.74,42.41,14.43,309.31
Maize,22.81,1215.9,464.85,105.87,60.88,15.48,679.19
Wheat,28.61,709.35,593.98,110.98,51.68,40.3,602.15
Soybean,23.14,19.06,367.59,131.82,31.3,46.73,533.6
Rice,33.63,691.61,312.42,97.65,11.82,32.51,2938.96
Soybean,23.0,780.74,305.52,107.52,45.5,30.4,124.23
Rice,26.12,496.82,0.0,106.49,10.16,28.14,1686.9
Rice,29.66,645.43,411.77,94.9,65.9,39.53,2768.67
Soybean,17.91,1259.06,320.12,169.15,36.76,0.0,126.79
Soybean,16.2,999.48,364.25,138.44,63.9,17.97,120.43
Soybean,17.37,522.63,193.28,130.03,30.4,27.46,501.12
Soybean,31.31,320.72,242.33,152.34,45.38,64.15,555.21
Maize,22.24,701.89,238.35,109.43,44.19,23.72,3016.15
Wheat,37.79,735.96,453.24,89.03,39.1,43.61,502.73
Rice,22.18,948.86,243.19,95.9,31.35,44.53,2556.17
Soybean,25.92,639.4,612.4,120.07,47.85,65.96,119.04
Soybean,32.71,953.45,364.63,77.63,21.48,65.25,123.36
Soybean,35.03,1380.55,108.65,99.99,15.81,38.85,123.18
Maize,35.31,1044.65,280.72,99.36,64.86,30.49,1562.71
Soybean,31.04,785.57,202.25,204.98,54.54,26.72,135.44
Soybean,30.12,745.05,0.0,9.05,41.32,35.18,496.08
Soybean,27.96,693.0,539.92,112.82,73.3,31.32,117.57
Wheat,28.89,1154.19,405.47,189.03,34.64,51.07,351.81
Maize,22.24,611.81,379.98,124.87,66.45,48.41,3501.3
Soybean,20.91,813.57,324.81,150.14,43.51,51.84,129.2
Rice,24.98,815.36,92.7,123.99,19.5,65.19,2886.05
Rice,24.15,649.46,227.46,93.31,76.96,77.26,2561.89
Rice,22.73,388.26,426.27,30.32,59.81,42.49,1221.57
Maize,28.48,896.89,142.32,128.22,37.58,61.99,3639.76
Maize,29.78,781.7,0.0,88.98,54.54,32.97,2938.88
Rice,25.44,950.07,265.93,87.99,31.93,63.7,2213.57
Soybean,32.39,639.92,278.74,100.04,56.58,61.23,209.26
Maize,19.29,1166.25,320.33,189.79,0.0,60.17,1025.73
Rice,24.03,536.97,409.28,216.19,19.6,41.88,2205.6
Rice,21.42,1313.61,395.64,128.69,59.59,26.63,1992.04
Soybean,15.67,275.71,338.82,101.41,35.01,12.11,587.76
Wheat,24.59,930.43,479.33,72.91,44.15,39.2,430.59
Maize,24.39,942.63,72.15,138.74,13.06,70.66,2985.68
Soybean,32.57,561.33,375.69,191.32,76.96,33.8,148.05
Rice,28.15,927.32,393.98,110.11,63.81,55.7,2624.48
Rice,19.88,1183.86,114.07,24.84,35.99,56.88,1512.7
Soybean,34.27,134.95,74.57,146.8,31.91,34.33,374.86
Maize,31.11,950.82,188.11,159.42,60.59,66.33,3098.6
Wheat,27.91,52.02,200.77,56.57,79.65,0.0,1100.33
Wheat,23.87,510.3,413.01,127.06,59.08,15.54,1993.98
Rice,20.2,1288.75,207.82,138.05,83.44,21.69,2694.78
Maize,23.14,625.47,171.55,117.08,21.55,23.61,3261.6
Wheat,30.44,447.84,208.25,88.37,23.61,46.73,2472.03
Maize,34.42,740.62,467.79,160.64,16.22,45.8,2520.08
Maize,32.72,1420.37,301.96,103.86,48.84,47.88,699.61
Rice,22.56,250.5,273.11,60.59,43.51,51.92,1566.06
Wheat,19.4,484.61,283.5,38.02,36.96,21.0,1316.89
Soybean,25.7,1249.23,493.81,170.43,56.19,15.64,127.65
Rice,16.16,1357.31,187.62,144.67,64.65,47.93,2987.84
Wheat,26.62,768.97,497.33,123.52,9.49,27.4,584.99
Wheat,24.26,428.28,331.57,102.39,28.06,8.59,2548.39
Wheat,22.67,1428.75,275.94,98.84,56.4,59.43,506.02
Wheat,17.03,1278.33,675.14,76.97,30.65,67.9,476.25
Wheat,27.57,1003.68,141.65,102.74,24.04,71.14,446.43
Maize,22.34,556.28,246.95,35.2,60.37,43.74,1724.18
Rice,19.15,785.29,115.14,90.56,14.21,52.52,2138.07
Maize,10.64,751.89,442.87,107.56,33.97,67.4,2448.08
Soybean,24.86,899.26,553.38,144.4,46.57,27.17,83.01
Wheat,33.86,1235.3,550.49,118.4,28.52,62.21,519.98
Rice,33.31,1063.83,483.59,151.8,55.66,45.51,2571.21
Wheat,22.71,476.79,270.36,173.97,28.62,58.27,2091.42
Rice,21.99,1212.95,245.21,162.33,68.17,43.72,2952.98
Maize,27.34,893.94,49.32,138.82,37.49,65.93,4084.01
Rice,20.01,1006.12,605.38,120.47,53.43,44.47,2270.13
Soybean,26.51,1239.96,370.35,80.77,54.92,10.32,132.46
Soybean,28.83,466.53,226.21,149.6,27.45,69.04,618.43
Rice,31.13,789.25,499.21,187.19,0.0,21.05,3016.88
Rice,24.5,640.56,154.09,133.68,47.22,65.06,2834.26
Rice,23.98,329.64,360.99,196.69,41.45,38.2,2262.05
Rice,20.61,904.01,274.11,58.98,51.12,63.52,1809.09
Soybean,20.87,1553.47,395.8,73.83,35.47,62.7,129.13
Wheat,23.87,247.98,290.46,154.21,31.39,48.6,1933.19
Rice,26.84,790.32,82.36,130.57,80.17,50.17,2616.74
Rice,29.57,992.16,311.34,172.55,10.55,48.45,2395.67
Soybean,20.98,836.92,457.33,119.38,54.68,0.0,111.56
Soybean,32.46,766.06,295.62,85.28,28.51,42.37,127.7
Maize,23.64,410.24,416.27,111.46,33.28,17.68,3595.58
Rice,24.89,869.84,143.17,58.69,33.66,43.42,1866.31
Maize,21.26,572.97,296.06,74.86,23.93,17.14,2675.29
Soybean,12.88,143.02,206.32,158.9,51.42,16.3,442.65
Soybean,29.42,1158.38,412.05,154.91,67.81,72.1,115.53
Wheat,28.68,1087.52,304.72,134.52,49.4,61.39,459.22
Rice,23.59,815.5,403.51,51.16,42.07,39.92,1601.14
Maize,25.33,868.72,463.16,105.66,20.27,43.7,1966.69
Soybean,27.58,1122.3,403.74,71.0,50.34,35.04,117.44
Soybean,17.19,867.3,340.97,167.06,83.13,51.4,112.74
Maize,22.35,1071.21,150.27,96.65,32.39,26.48,1801.75
Wheat,28.97,710.76,299.58,76.57,32.48,59.87,1125.19
Soybean,18.73,1193.6,220.04,121.19,28.78,34.94,106.95
Rice,26.47,896.24,248.39,94.39,30.21,31.6,2608.14
Soybean,18.22,858.22,243.82,179.35,0.0,40.43,108.59
Rice,27.33,418.98,153.01,90.61,48.1,28.18,1860.59
Maize,24.82,886.09,6.4,64.03,23.09,46.57,2292.77
Rice,16.92,550.41,199.78,33.88,7.79,29.25,1229.92
Maize,30.82,608.52,329.01,118.77,55.06,49.37,3608.47
Rice,21.33,555.39,97.77,97.52,18.36,64.32,1705.45
Maize,20.95,480.13,302.35,62.84,33.23,25.61,2029.2
Rice,26.0,1437.43,585.04,167.57,69.33,37.39,1577.84
Wheat,30.74,1199.4,453.46,146.69,11.82,49.23,431.44
Rice,19.92,1376.11,546.53,118.87,9.35,31.28,1287.35
Rice,25.31,433.13,358.67,174.57,45.39,49.29,2931.14
Wheat,27.14,821.38,475.13,146.5,62.99,51.11,510.3
Soybean,28.47,411.95,191.41,87.09,8.51,61.67,604.29
Soybean,25.88,591.29,203.35,78.43,48.15,27.88,367.86
Rice,23.16,524.56,0.0,152.72,51.62,21.14,2136.51
Wheat,20.86,1171.88,477.92,135.85,0.0,33.85,456.8
Rice,25.43,681.13,531.05,126.79,55.97,20.64,2988.82
Maize,19.64,1120.51,217.02,86.14,57.53,51.29,1456.41
Maize,10.39,981.24,261.91,144.32,33.76,16.76,3068.97
Rice,27.18,1491.09,186.92,89.78,65.05,86.66,1789.25
Soybean,29.52,356.17,357.4,115.92,62.73,65.92,550.98
Soybean,13.19,1177.77,468.74,177.88,42.06,40.25,120.47
Rice,19.95,1143.93,38.58,93.57,30.97,57.35,2454.12
Rice,28.1,507.99,361.42,57.08,20.54,7.26,1751.28
Maize,35.29,1102.14,258.5,77.9,39.25,90.47,1489.58
Soybean,25.1,900.84,317.01,159.77,51.4,28.2,136.4
Rice,21.36,731.76,368.85,130.19,33.52,37.59,3019.83
Maize,24.09,552.82,271.77,114.84,0.0,2.88,3168.57
Soybean,31.87,584.27,284.46,99.64,65.37,49.73,275.22
Wheat,21.77,1414.94,267.92,139.41,43.8,17.87,575.63
Maize,21.0,800.2,445.55,86.04,32.41,42.03,2286.35
Soybean,22.59,1034.64,362.81,132.23,57.14,29.11,130.91
Soybean,20.23,562.73,333.09,90.75,70.49,18.45,241.81
Maize,25.61,566.04,109.36,84.09,0.0,23.91,3003.51
Wheat,33.12,1124.6,243.21,94.5,48.69,44.52,533.16
Maize,26.62,395.13,434.8,104.98,11.47,14.37,3157.21
Soybean,23.74,675.44,305.65,118.05,49.98,25.02,103.74
Rice,23.54,810.21,398.93,129.42,42.56,53.27,2964.41
Rice,17.18,833.41,564.98,0.0,52.71,92.05,1071.77
